samples	groups	Replicate
Ctrl_acetylated_1	Ctrl_acetylated	1
Ctrl_acetylated_2	Ctrl_acetylated	2
Ctrl_acetylated_3	Ctrl_acetylated	3
GFP_Atg8_acetylated_1	GFP_Atg8_acetylated	1
GFP_Atg8_acetylated_2	GFP_Atg8_acetylated	2
GFP_Atg8_acetylated_3	GFP_Atg8_acetylated	3
